sku_id,expected_label,ai_label_rationale,ai_review_confidence,ai_review_note
SP-6A627AE57E,HOLD,"AI review: only 12 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-EA1A90B4B8,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-C7EF6CC8AF,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-26E1DF3914,HOLD,"AI review: only 14 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-265659CA96,HOLD,"AI review: only 13 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-C328DB5C58,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-1A5E48962B,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-C1FA92617F,HOLD,"AI review: only 13 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-A2D46F25B1,HOLD,"AI review: only 13 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-C5A9CE6C8D,HOLD,"AI review: only 14 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-8C2C7BFBA1,HOLD,"AI review: only 14 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-CF5BCC0FE2,HOLD,"AI review: only 12 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-20E084F9D9,HOLD,"AI review: only 14 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-48A96BB634,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-3B493D0895,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-28A4947B98,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-6C4030E8BF,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-73E4C8CC61,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-DEECA186E7,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-745B1972AB,HOLD,"AI review: only 11 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-485BDE7E2C,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-545229B88B,HOLD,"AI review: only 11 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-BEDB9977CB,HOLD,"AI review: only 12 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-0D8F9A9ADA,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-9DB6B598F6,HOLD,"AI review: only 12 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-F272E0B3EC,HOLD,"AI review: only 12 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-26CA5937C8,HOLD,"AI review: only 12 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-CA4D78ABDF,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-0A0C5718B8,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-1DE83EF0B0,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-22ED3EE46C,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-1EFF62AD3C,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-B3F68BA4E6,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-579FCCF26F,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-9EF0AF0731,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-4922B84AAD,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-1B705F3CD9,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-0AA1FDD34E,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-6F212837EF,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-63D1F944FA,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-7C595F60D7,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-5FCBB664AF,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-57E4E0DDE1,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-CE1996B0E0,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-12E813D427,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-D62159F18D,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-ABDA020E90,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-CC5CDA3953,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-8909E63A20,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-B6194DA390,HOLD,"AI review: only 14 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-AA3A19B5B7,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-1119C7A992,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-24B46A527F,HOLD,"AI review: only 9 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-D066E902D0,HOLD,"AI review: only 12 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-DB450DEC3B,HOLD,"AI review: only 12 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-928176DAC9,HOLD,"AI review: only 10 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
SP-A5571E2645,HOLD,"AI review: only 12 units remain in the training feature row, so scarcity/availability protection should dominate.",0.86,Reviewed against training-feature rows with live AWS RDS competitor overlay; model/system predictions were not used as label inputs.
