style_code,sku_id,product_name,colorway,system_category,sport_type,gender_target,retail_price_lbp,retail_price_usd,original_retail_price_lbp,original_retail_price_usd,cost_price_usd,gross_margin_pct,num_sizes,initial_stock,is_currently_on_sale,current_discount_pct,competitor_signal,price_gap_pct,price_gap_usd,is_dead_stock_candidate,replenishment_mode,lead_time_days,sell_period_days,collection_type,fx_rate_used,fx_date
JC9577,SKU-JC9577,"Premium Essentials Shorts, Black",Black,sportswear,training,men,7920000.0,88.0,7920000.0,88.0,41.46,0.5289,2,4,False,0.0,premium,0.1538,13.53,False,local_distributor,11,367,core,90000,2026-04-05/06 snapshot
IC9759,SKU-IC9759,"ALL SZN French Terry Hoodie, Grey",Grey,sportswear,training,men,8550000.0,95.0,10687500.0,118.75,54.74,0.539,3,6,True,20.0,neutral,-0.0234,-2.22,False,local_distributor,19,421,seasonal,90000,2026-04-05/06 snapshot
IZ0114,SKU-IZ0114,"Arsenal 24/25 Third Jersey, Blue",Blue,sportswear,training,men,13680000.0,152.0,34089300.0,378.77,178.4,0.529,1,7,True,59.87,premium,0.1212,18.42,True,never,0,1279,seasonal,90000,2026-04-05/06 snapshot
IY9861,SKU-IY9861,"Adicolor Classics SST Track Pants, Blue",Blue,sportswear,training,men,9990000.0,111.0,12459600.0,138.44,64.92,0.5311,3,12,True,19.82,premium,0.0612,6.79,False,local_distributor,17,480,seasonal,90000,2026-04-05/06 snapshot
H11427,SKU-H11427,"Adicolor Classics 3-Stripes Satin Shorts, Black",Black,sportswear,training,men,6840000.0,76.0,34650900.0,385.01,188.45,0.5105,2,8,True,80.26,neutral,0.0225,1.71,False,local_distributor,13,487,seasonal,90000,2026-04-05/06 snapshot
GC8048,SKU-GC8048,"Heat.Rdy Tank Top, Pink",Pink,sportswear,training,women,7200000.0,80.0,36000000.0,400.0,194.83,0.5129,1,2,True,80.0,premium,0.1674,13.39,True,never,0,1269,seasonal,90000,2026-04-05/06 snapshot
IA4790,SKU-IA4790,"Adicolor Classics Sst Tracksuit Bottom, Green",Green,sportswear,training,men,9990000.0,111.0,19801800.0,220.02,109.06,0.5043,1,6,True,49.55,neutral,-0.0241,-2.68,False,local_distributor,7,379,seasonal,90000,2026-04-05/06 snapshot
JM8134,SKU-JM8134,"Tech Apparel Tracktop, Black",Black,sportswear,training,men,10890000.0,121.0,10890000.0,121.0,51.66,0.5731,1,11,False,0.0,neutral,0.0024,0.29,False,local_distributor,21,416,core,90000,2026-04-05/06 snapshot
IY7395,SKU-IY7395,"Unisex Coach Jacket (Gender Neutral), Blue",Blue,sportswear,training,unisex,15840000.0,176.0,31680000.0,352.0,167.86,0.5231,1,2,True,50.0,premium,0.0459,8.08,True,never,0,1191,seasonal,90000,2026-04-05/06 snapshot
IT3328,SKU-IT3328,"Stella Mccartney Training Shine Leggings, Black",Black,sportswear,training,women,15840000.0,176.0,39828600.0,442.54,204.1,0.5388,1,7,True,60.23,neutral,-0.0158,-2.78,True,never,0,1397,seasonal,90000,2026-04-05/06 snapshot
HR5377,SKU-HR5377,"DailyRun 7/8 Leggings, Purple",Purple,sportswear,training,women,8550000.0,95.0,13101300.0,145.57,68.24,0.5312,2,12,True,34.74,neutral,-0.0011,-0.1,False,local_distributor,11,359,seasonal,90000,2026-04-05/06 snapshot
IX7598,SKU-IX7598,"Kids Unisex Cargo Shorts, Beige",Beige,sportswear,training,unisex,4230000.0,47.0,6413400.0,71.26,34.22,0.5198,4,16,True,34.04,neutral,0.0241,1.13,False,local_distributor,8,461,seasonal,90000,2026-04-05/06 snapshot
HY6973,SKU-HY6973,"Own The Run Shorts, Blue",Blue,sportswear,training,men,5490000.0,61.0,6834600.0,75.94,35.01,0.539,4,28,True,19.67,premium,0.0304,1.85,False,local_distributor,12,430,seasonal,90000,2026-04-05/06 snapshot
JC9632,SKU-JC9632,"Kids Essentials Leggings, Black",Black,sportswear,training,girls,3330000.0,37.0,3330000.0,37.0,16.13,0.5641,5,15,False,0.0,neutral,-0.0263,-1.0,False,local_distributor,13,480,core,90000,2026-04-05/06 snapshot
IU4682,SKU-IU4682,"Graphics Camo Infill Hoodie, Beige",Beige,sportswear,training,men,11340000.0,126.0,14147100.0,157.19,76.39,0.514,2,8,True,19.84,premium,0.1875,23.62,False,local_distributor,8,448,seasonal,90000,2026-04-05/06 snapshot
JE7845,SKU-JE7845,"adidas Z.N.E. Shorts, Black",Black,sportswear,training,women,7200000.0,80.0,7200000.0,80.0,37.09,0.5364,2,12,False,0.0,neutral,-0.0129,-1.03,False,local_distributor,21,497,core,90000,2026-04-05/06 snapshot
GL3734,SKU-GL3734,"Essentials 3-Stripes T-Shirt, Blue",Blue,sportswear,training,men,3690000.0,41.0,7204500.0,80.05,37.53,0.5312,1,13,True,48.78,neutral,0.0138,0.57,False,local_distributor,10,415,seasonal,90000,2026-04-05/06 snapshot
